"beach_idn","beach","city","region","number.of.surveys.BB","most.recent.survey.BB","number.of.surveys.MD","most.recent.survey.MD","latitude","longitude","turn_latitude","turn_longitude","monitored","blength","bb.stat","smd.stat","lmd.stat","last3tag","bbn12","lmdn12","mmdn12","smdn12","bb.col","smd.col","lmd.col"
203,"Mud Bay Beach","Homer","Gulf of Alaska",10,"2019-06-25",0,NA,59.63632,-151.498275,59.630806,-151.491599,TRUE,0.7,2,1,1,"48; 74; 45",10,0,0,0,"Currently monitored","Available","Available"
903,"Carlyle Beach","Seward","Gulf of Alaska",0,"2017-10-30",0,NA,60.12407,-149.42162,60.12178,-149.42457,TRUE,0.288,2,1,1,"",0,0,0,0,"Currently monitored","Available","Available"
638,"Hartney Bay South","Cordova","Gulf of Alaska",0,"2012-11-08",0,NA,60.496005,-145.87211,60.491109,-145.885358,TRUE,0.9,1,1,1,"",0,0,0,0,"Available","Available","Available"
41,"Cannery Beach North","Kenai","Gulf of Alaska",9,"2019-07-09",0,NA,60.531099,-151.271469,60.547324,-151.260123,TRUE,2,2,1,1,"107; 106; 105",9,0,0,0,"Currently monitored","Available","Available"
4,"Airport Beach","Seward","Gulf of Alaska",20,"2019-08-01",0,NA,60.124033,-149.411405,60.124503,-149.420914,TRUE,0.5,2,1,1,"96; 95; 94",20,0,0,0,"Currently monitored","Available","Available"
664,"Egg Island","Cordova","Gulf of Alaska",0,NA,0,NA,60.391767,-146.016755,60.383737,-145.949393,TRUE,4,1,1,1,"",0,0,0,0,"Available","Available","Available"
909,"Silver Salmon Creek","","Gulf of Alaska",2,"2019-07-21",0,NA,60.0012,-152.6268,59.95324,-152.6862,TRUE,6.49,1,1,1,"",2,0,0,0,"Available","Available","Available"
22,"Bishop's Beach East","Homer","Gulf of Alaska",1,"2018-11-19",1,"2018-11-19",59.637465,-151.540335,59.635925,-151.53507,TRUE,1.6,2,1,1,"10; 61; 60",1,1,1,0,"Currently monitored","Available","Available"
568,"Hippie Cove","Cordova","Gulf of Alaska",0,"2016-10-04",0,NA,60.558367,-145.747917,60.56379,-145.743609,TRUE,0.68,1,1,1,"79; 77; 76",0,0,0,0,"Available","Available","Available"
318,"Spring Creek","Seward","Gulf of Alaska",0,"2018-03-26",0,NA,60.093328,-149.367931,60.088093,-149.353707,TRUE,0.3,2,1,1,"10; 1; 39",0,0,0,0,"Currently monitored","Available","Available"
310,"South Bulldog Cove","Kenai Fjords National Park","Gulf of Alaska",2,"2019-06-28",0,NA,59.89148,-149.55774,59.89514,-149.5674,TRUE,0.7,2,1,1,"517; 516; 515",2,0,0,0,"Currently monitored","Available","Available"
503,"Coal Bay","Homer","Gulf of Alaska",11,"2019-07-24",0,NA,59.638867,-151.482093,59.643523,-151.460761,TRUE,1.34,2,1,1,"46; 45; 44",11,0,0,0,"Currently monitored","Available","Available"
218,"North Verdant Cove","Kenai Fjords National Park","Gulf of Alaska",3,"2019-08-01",0,NA,59.71129,-149.74113,59.715035,-149.737029,TRUE,0.7,2,1,1,"306; 305; 304",3,0,0,0,"Currently monitored","Available","Available"
634,"Akhiok","Akhiok","Gulf of Alaska",0,"2013-05-21",0,NA,56.943657,-154.174529,56.940796,-154.171026,TRUE,0.5,1,1,1,"2",0,0,0,0,"Available","Available","Available"
420,"Jewel Beach","Kodiak","Gulf of Alaska",7,"2019-05-03",0,NA,57.733403,-152.494584,57.738288,-152.496114,TRUE,0.56,2,1,1,"1; 44; 43",7,0,0,0,"Currently monitored","Available","Available"
619,"Near Island S End","Kodiak","Gulf of Alaska",0,"2015-06-06",0,NA,57.772811,-152.41284,57.773631,-152.410555,TRUE,0.2,2,1,1,"",0,0,0,0,"Currently monitored","Available","Available"
337,"Tonsina","Seward","Gulf of Alaska",0,"2018-02-19",0,NA,60.04952,-149.44441,60.04644,-149.4436,TRUE,0.3,2,1,1,"50; 49; 48",0,0,0,0,"Currently monitored","Available","Available"
588,"Swikshak","Swikshak","Gulf of Alaska",2,"2019-07-19",0,NA,58.603207,-153.770032,58.6068,-153.753796,TRUE,1,2,1,1,"210; 209; 207",2,0,0,0,"Currently monitored","Available","Available"
885,"Outside Beach`","Seldovia Village ","Gulf of Alaska",3,"2019-03-12",0,NA,59.45388,-151.71222,59.45922,-151.70788,TRUE,0.65,2,1,1,"",3,0,0,0,"Currently monitored","Available","Available"
531,"Fort Abercrombie","Kodiak","Gulf of Alaska",0,"2017-05-25",0,NA,57.836084,-152.351892,57.835016,-152.35009,TRUE,0.16,1,1,1,"3; 2; 31",0,0,0,0,"Available","Available","Available"
353,"Yalik Glacier","Kenai Fjords National Park","Gulf of Alaska",1,"2019-06-14",0,NA,59.430678,-150.705419,59.424677,-150.727284,TRUE,1.6,2,1,1,"10; 100",1,0,0,0,"Currently monitored","Available","Available"
365,"Southwest Stretch","Homer","Gulf of Alaska",9,"2019-05-31",0,NA,59.608743,-151.440297,59.601152,-151.421809,TRUE,1.4,2,1,1,"52; 51; 50",9,0,0,0,"Currently monitored","Available","Available"
108,"Fourth of July South","Seward","Gulf of Alaska",0,"2017-10-21",0,NA,60.084424,-149.353707,60.079906,-149.346932,TRUE,1,2,1,1,"0; 0; 0",0,0,0,0,"Currently monitored","Available","Available"
