"name","code","city","region","state","start_lat","start_lon","turn_lat","turn_lon","length","monitored","BB.stat","SMD.stat","LMD.stat"
"Mud Bay Beach","MudBay","Homer","Gulf of Alaska","Alaska",59.63632,-151.498275,59.630806,-151.491599,0.7,TRUE,2,1,1
"Bass Harbor","BassHrbr","","Gulf of Alaska","Alaska",60.652043,-147.392433,60.65105,-147.386717,0.4,FALSE,NA,NA,NA
"Derickson Bay Spit","DrcksnBy","","Gulf of Alaska","Alaska",60.47315,-148.335233,60.472283,-148.3412,0.37,FALSE,NA,NA,NA
"Carlyle Beach","CrlylBch","Seward","Gulf of Alaska","Alaska",60.12407,-149.42162,60.12178,-149.42457,0.288,TRUE,2,1,1
"Hartney Bay South","HrtnyByS","Cordova","Gulf of Alaska","Alaska",60.496005,-145.87211,60.491109,-145.885358,0.9,TRUE,1,1,1
"NW Bainbridge Bay","NWBnbrdg","","Gulf of Alaska","Alaska",60.126467,-148.372917,60.133183,-148.360983,1.1,FALSE,NA,NA,NA
"Cannery Beach North","CnryBchN","Kenai","Gulf of Alaska","Alaska",60.531099,-151.271469,60.547324,-151.260123,2,TRUE,2,1,1
"Airport Beach","ArprtBch","Seward","Gulf of Alaska","Alaska",60.124033,-149.411405,60.124503,-149.420914,0.5,TRUE,2,1,1
"Egg Island","EggIs","Cordova","Gulf of Alaska","Alaska",60.391767,-146.016755,60.383737,-145.949393,4,TRUE,1,1,1
"Silver Salmon Creek","SlvrSlmn","","Gulf of Alaska","Alaska",60.0012,-152.6268,59.95324,-152.6862,6.49,TRUE,1,1,1
"Bishop's Beach East","BishopsE","Homer","Gulf of Alaska","Alaska",59.637465,-151.540335,59.635925,-151.53507,1.6,TRUE,2,1,1
"Outside Bay","OutsdBy","","Gulf of Alaska","Alaska",60.648396,-147.462824,60.644724,0.147,0.2,FALSE,NA,NA,NA
"Hippie Cove","HppieCv","Cordova","Gulf of Alaska","Alaska",60.558367,-145.747917,60.56379,-145.743609,0.68,TRUE,1,1,1
"Eccles Lagoon Beach","EcclsLgn","Cordova","Gulf of Alaska","Alaska",60.536354,-145.779337,60.53264,-145.787015,0.71,FALSE,NA,NA,NA
"Spring Creek","SprngCrk","Seward","Gulf of Alaska","Alaska",60.093328,-149.367931,60.088093,-149.353707,0.3,TRUE,2,1,1
"South Bulldog Cove","SBlldgCv","Kenai Fjords National Park","Gulf of Alaska","Alaska",59.89148,-149.55774,59.89514,-149.5674,0.7,TRUE,2,1,1
"Mega Beach 1","MegaBch1","Whitter","Gulf of Alaska","Alaska",60.43741,-147.628929,60.438257,-147.632457,0.17,FALSE,NA,NA,NA
"Coal Bay","ClBy","Homer","Gulf of Alaska","Alaska",59.638867,-151.482093,59.643523,-151.460761,1.34,TRUE,2,1,1
"Chenega Point","Chenega","","Gulf of Alaska","Alaska",60.281,-148.037117,60.282783,-148.030833,0.4,FALSE,NA,NA,NA
"McPherson Bay","McPhrsn","","Gulf of Alaska","Alaska",60.652266,-147.381841,60.65202,-147.364715,1,FALSE,NA,NA,NA
"North Verdant Cove","NVrdntCv","Kenai Fjords National Park","Gulf of Alaska","Alaska",59.71129,-149.74113,59.715035,-149.737029,0.7,TRUE,2,1,1
"Akhiok","Akhk","Akhiok","Gulf of Alaska","Alaska",56.943657,-154.174529,56.940796,-154.171026,0.5,TRUE,1,1,1
"Jewel Beach","Jewel","Kodiak","Gulf of Alaska","Alaska",57.733403,-152.494584,57.738288,-152.496114,0.56,TRUE,2,1,1
"Axel Lind East","AxlLndE","none","Gulf of Alaska","Alaska",60.786483,-147.720267,60.788117,-147.72055,0.2,FALSE,NA,NA,NA
"South Bainbridge Passage","SBnbrPsg","","Gulf of Alaska","Alaska",60.104583,-148.279167,60.10095,-148.293467,1,FALSE,NA,NA,NA
"Near Island S End","NrIslndS","Kodiak","Gulf of Alaska","Alaska",57.772811,-152.41284,57.773631,-152.410555,0.2,TRUE,2,1,1
